N, Error (MAE), Time (seconds)
10, 0.009044729534255547, 7.843971252441406e-05
20, 0.0021736890685227104, 6.29425048828125e-05
30, 0.0009517493028031546, 4.410743713378906e-05
40, 0.0005312205159186609, 4.744529724121094e-05
50, 0.0003383729331971869, 5.2928924560546875e-05
60, 0.0002342316040023255, 5.698204040527344e-05
70, 0.0001716934269670337, 6.175041198730469e-05
80, 0.00013122521467735516, 6.461143493652344e-05
90, 0.00010354395777463098, 6.699562072753906e-05
100, 8.377962391848834e-05, 7.271766662597656e-05
110, 6.917775434727864e-05, 8.0108642578125e-05
120, 5.8085344766810204e-05, 8.654594421386719e-05
130, 4.946167407717976e-05, 8.821487426757812e-05
140, 4.262502608238794e-05, 9.417533874511719e-05
150, 3.711372054041937e-05, 0.00010037422180175781
160, 3.260608174214192e-05, 0.0001068115234375
170, 2.8872417963620176e-05, 0.00010967254638671875
180, 2.574517269175003e-05, 0.00011992454528808594
190, 2.3099794083558047e-05, 0.00012063980102539062
200, 2.084213925619947e-05, 0.0001289844512939453
210, 1.889998126657259e-05, 0.0001327991485595703
220, 1.7217160828990047e-05, 0.00013971328735351562
230, 1.5749479851302127e-05, 0.00014495849609375
240, 1.4461769813532612e-05, 0.00015091896057128906
250, 1.3325765324490312e-05, 0.0001609325408935547
260, 1.2318539798127802e-05, 0.00016355514526367188
270, 1.142133902128169e-05, 0.00017189979553222656
280, 1.0618703364138943e-05, 0.0001766681671142578
290, 9.8977957213676e-06, 0.00018167495727539062
300, 9.2478846155603e-06, 0.00020241737365722656
310, 8.6599457409271e-06, 0.0001938343048095703
320, 8.126341909558108e-06, 0.00020003318786621094
330, 7.640579740072546e-06, 0.00020766258239746094
340, 7.197106347410008e-06, 0.00021195411682128906
350, 6.791151278172547e-06, 0.00021576881408691406
360, 6.41859863217696e-06, 0.00022530555725097656
370, 6.075882223719209e-06, 0.0002281665802001953
380, 5.7598992677494375e-06, 0.0002357959747314453
390, 5.4679395823019355e-06, 0.00023984909057617188
400, 5.197629160103769e-06, 0.0002505779266357422
410, 4.946877960916416e-06, 0.0002503395080566406
420, 4.713844963055276e-06, 0.00026154518127441406
430, 4.4968970452902675e-06, 0.00026607513427734375
440, 4.294589878747402e-06, 0.0002715587615966797
450, 4.105633987348002e-06, 0.0002751350402832031
460, 3.9288790327961304e-06, 0.0002872943878173828
470, 3.7632981470607494e-06, 0.0002911090850830078
480, 3.6079677846100853e-06, 0.00029468536376953125
490, 3.4620598868619676e-06, 0.0003020763397216797
500, 3.32482852959777e-06, 0.0003094673156738281
510, 3.1955960148937456e-06, 0.0003142356872558594
520, 3.0737551060513557e-06, 0.0003261566162109375
530, 2.9587514795641792e-06, 0.00032639503479003906
540, 2.850083898117174e-06, 0.00033736228942871094
550, 2.74729361588349e-06, 0.00034308433532714844
560, 2.6499665349782044e-06, 0.0003464221954345703
570, 2.5577213784376784e-06, 0.0003516674041748047
580, 2.4702100132312352e-06, 0.0003616809844970703
590, 2.387113297015318e-06, 0.00035834312438964844
600, 2.3081425781987703e-06, 0.00037550926208496094
610, 2.2330236154718383e-06, 0.00037360191345214844
620, 2.1615142654864205e-06, 0.00038123130798339844
630, 2.0933874512577695e-06, 0.0004153251647949219
640, 2.0284302711295886e-06, 0.0003981590270996094
650, 1.9664502107331974e-06, 0.0004031658172607422
660, 1.907267128492401e-06, 0.000408172607421875
670, 1.8507161798836956e-06, 0.00040841102600097656
680, 1.7966439419661865e-06, 0.0004246234893798828
690, 1.7449083675688582e-06, 0.00042247772216796875
700, 1.6953761948353354e-06, 0.00043702125549316406
710, 1.6479197704243744e-06, 0.0004260540008544922
720, 1.6024332271684868e-06, 0.00045180320739746094
730, 1.558801031372203e-06, 0.000446319580078125
740, 1.5169269998317044e-06, 0.00046133995056152344
750, 1.4767201969442465e-06, 0.0004596710205078125
760, 1.4380881198895663e-06, 0.00046825408935546875
770, 1.4009538553219566e-06, 0.00046944618225097656
780, 1.3652392837245543e-06, 0.00048351287841796875
790, 1.3308755898258284e-06, 0.00047969818115234375
800, 1.2977901827208653e-06, 0.0004956722259521484
810, 1.2659236878618292e-06, 0.0004909038543701172
820, 1.2352192914221867e-06, 0.0005075931549072266
830, 1.2056133092692299e-06, 0.0005025863647460938
840, 1.1770634497479943e-06, 0.0005247592926025391
850, 1.1495163115456385e-06, 0.0005156993865966797
860, 1.1229214407371596e-06, 0.0005388259887695312
870, 1.0972426735811855e-06, 0.0005354881286621094
880, 1.072433176294204e-06, 0.0005443096160888672
890, 1.0484562456529283e-06, 0.0005552768707275391
900, 1.0252737369473953e-06, 0.0005559921264648438
910, 1.0028513107229887e-06, 0.0005631446838378906
920, 9.811564915226243e-07, 0.0005698204040527344
930, 9.601574759768085e-07, 0.0005633831024169922
940, 9.398281805413484e-07, 0.0005855560302734375
950, 9.201371514854243e-07, 0.0005774497985839844
960, 9.010574466423104e-07, 0.0006043910980224609
970, 8.82560029367112e-07, 0.0006024837493896484
980, 8.646320190854411e-07, 0.0006046295166015625
990, 8.472459715377372e-07, 0.0005953311920166016
1000, 8.303751913308586e-07, 0.0006165504455566406
