N, Method, Iterations, Time (seconds), Error (MAE), Alpha, h
41, sor, 268, 0.372673, 5.464041e-03, 1.85, 0.025
41, sor, 252, 0.350240, 5.464073e-03, 1.86, 0.025
41, sor, 235, 0.334661, 5.464048e-03, 1.87, 0.025
41, sor, 218, 0.303560, 5.464053e-03, 1.88, 0.025
41, sor, 200, 0.277763, 5.464008e-03, 1.89, 0.025
41, sor, 183, 0.256438, 5.464152e-03, 1.9, 0.025
41, sor, 164, 0.228218, 5.464233e-03, 1.91, 0.025
41, sor, 144, 0.200078, 5.464540e-03, 1.92, 0.025
41, sor, 154, 0.213784, 5.465991e-03, 1.93, 0.025
41, sor, 175, 0.243461, 5.466113e-03, 1.94, 0.025
