Iteration, Residual
1, 2.904299e+03
2, 1.968458e+03
3, 1.508019e+03
4, 1.232188e+03
5, 1.047848e+03
6, 9.155328e+02
7, 8.156469e+02
8, 7.373624e+02
9, 6.742093e+02
10, 6.220818e+02
11, 5.782473e+02
12, 5.408146e+02
13, 5.084325e+02
14, 4.801092e+02
15, 4.550994e+02
16, 4.328319e+02
17, 4.128616e+02
18, 3.948358e+02
19, 3.784717e+02
20, 3.635395e+02
21, 3.498506e+02
22, 3.372485e+02
23, 3.256026e+02
24, 3.148025e+02
25, 3.047547e+02
26, 2.953790e+02
27, 2.866066e+02
28, 2.783778e+02
29, 2.706407e+02
30, 2.633502e+02
31, 2.564662e+02
32, 2.499537e+02
33, 2.437817e+02
34, 2.379223e+02
35, 2.323509e+02
36, 2.270456e+02
37, 2.219863e+02
38, 2.171553e+02
39, 2.125364e+02
40, 2.081150e+02
41, 2.038779e+02
42, 1.998129e+02
43, 1.959091e+02
44, 1.921564e+02
45, 1.885455e+02
46, 1.850680e+02
47, 1.817162e+02
48, 1.784828e+02
49, 1.753612e+02
50, 1.723453e+02
51, 1.694295e+02
52, 1.666085e+02
53, 1.638773e+02
54, 1.612316e+02
55, 1.586670e+02
56, 1.561796e+02
57, 1.537658e+02
58, 1.514220e+02
59, 1.491452e+02
60, 1.469321e+02
61, 1.447802e+02
62, 1.426866e+02
63, 1.406489e+02
64, 1.386647e+02
65, 1.367319e+02
66, 1.348482e+02
67, 1.330119e+02
68, 1.312209e+02
69, 1.294736e+02
70, 1.277683e+02
71, 1.261034e+02
72, 1.244775e+02
73, 1.228890e+02
74, 1.213367e+02
75, 1.198192e+02
76, 1.183355e+02
77, 1.168842e+02
78, 1.154644e+02
79, 1.140749e+02
80, 1.127148e+02
81, 1.113832e+02
82, 1.100790e+02
83, 1.088015e+02
84, 1.075498e+02
85, 1.063231e+02
86, 1.051207e+02
87, 1.039419e+02
88, 1.027859e+02
89, 1.016520e+02
90, 1.005397e+02
91, 9.944835e+01
92, 9.837733e+01
93, 9.732607e+01
94, 9.629405e+01
95, 9.528074e+01
96, 9.428564e+01
97, 9.330826e+01
98, 9.234815e+01
99, 9.140485e+01
100, 9.047793e+01
101, 8.956698e+01
102, 8.867159e+01
103, 8.779139e+01
104, 8.692599e+01
105, 8.607504e+01
106, 8.523819e+01
107, 8.441511e+01
108, 8.360546e+01
109, 8.280894e+01
110, 8.202524e+01
111, 8.125406e+01
112, 8.049513e+01
113, 7.974816e+01
114, 7.901290e+01
115, 7.828908e+01
116, 7.757645e+01
117, 7.687476e+01
118, 7.618379e+01
119, 7.550331e+01
120, 7.483308e+01
121, 7.417291e+01
122, 7.352257e+01
123, 7.288187e+01
124, 7.225060e+01
125, 7.162858e+01
126, 7.101562e+01
127, 7.041153e+01
128, 6.981615e+01
129, 6.922929e+01
130, 6.865080e+01
131, 6.808050e+01
132, 6.751825e+01
133, 6.696388e+01
134, 6.641725e+01
135, 6.587821e+01
136, 6.534661e+01
137, 6.482232e+01
138, 6.430520e+01
139, 6.379512e+01
140, 6.329195e+01
141, 6.279556e+01
142, 6.230583e+01
143, 6.182264e+01
144, 6.134587e+01
145, 6.087541e+01
146, 6.041114e+01
147, 5.995295e+01
148, 5.950075e+01
149, 5.905441e+01
150, 5.861385e+01
151, 5.817895e+01
152, 5.774963e+01
153, 5.732579e+01
154, 5.690732e+01
155, 5.649415e+01
156, 5.608618e+01
157, 5.568332e+01
158, 5.528549e+01
159, 5.489259e+01
