Iteration, Residual
1, 1.777926e+02
2, 1.688349e+02
3, 1.610560e+02
4, 1.582866e+02
5, 1.554115e+02
6, 1.538523e+02
7, 1.522646e+02
8, 1.512267e+02
9, 1.501898e+02
10, 1.494387e+02
11, 1.486967e+02
12, 1.481237e+02
13, 1.475613e+02
14, 1.471077e+02
15, 1.466641e+02
16, 1.462949e+02
17, 1.459345e+02
18, 1.456275e+02
19, 1.453281e+02
20, 1.450682e+02
21, 1.448149e+02
22, 1.445919e+02
23, 1.443745e+02
24, 1.441808e+02
25, 1.439918e+02
26, 1.438219e+02
27, 1.436560e+02
28, 1.435056e+02
29, 1.433587e+02
30, 1.432245e+02
31, 1.430935e+02
32, 1.429730e+02
33, 1.428553e+02
34, 1.427465e+02
35, 1.426402e+02
36, 1.425414e+02
37, 1.424449e+02
38, 1.423548e+02
39, 1.422667e+02
40, 1.421842e+02
41, 1.421035e+02
42, 1.420277e+02
43, 1.419534e+02
44, 1.418835e+02
45, 1.418149e+02
46, 1.417502e+02
47, 1.416868e+02
48, 1.416267e+02
49, 1.415678e+02
50, 1.415119e+02
51, 1.414571e+02
52, 1.414050e+02
53, 1.413538e+02
54, 1.413051e+02
55, 1.412572e+02
56, 1.412116e+02
57, 1.411667e+02
58, 1.411239e+02
59, 1.410818e+02
60, 1.410415e+02
61, 1.410019e+02
62, 1.409639e+02
63, 1.409266e+02
64, 1.408908e+02
65, 1.408555e+02
66, 1.408217e+02
67, 1.407884e+02
68, 1.407564e+02
69, 1.407249e+02
70, 1.406946e+02
71, 1.406647e+02
72, 1.406359e+02
73, 1.406076e+02
74, 1.405803e+02
75, 1.405533e+02
76, 1.405274e+02
77, 1.405018e+02
78, 1.404770e+02
79, 1.404527e+02
80, 1.404291e+02
81, 1.404059e+02
82, 1.403834e+02
83, 1.403613e+02
84, 1.403398e+02
85, 1.403187e+02
86, 1.402982e+02
87, 1.402780e+02
88, 1.402584e+02
89, 1.402391e+02
90, 1.402204e+02
91, 1.402019e+02
92, 1.401839e+02
93, 1.401662e+02
94, 1.401491e+02
95, 1.401321e+02
96, 1.401156e+02
97, 1.400993e+02
98, 1.400835e+02
99, 1.400679e+02
100, 1.400528e+02
101, 1.400378e+02
102, 1.400232e+02
103, 1.400088e+02
104, 1.399948e+02
105, 1.399810e+02
106, 1.399675e+02
107, 1.399542e+02
108, 1.399412e+02
109, 1.399284e+02
110, 1.399160e+02
111, 1.399036e+02
112, 1.398916e+02
113, 1.398798e+02
114, 1.398682e+02
115, 1.398568e+02
116, 1.398456e+02
117, 1.398346e+02
118, 1.398238e+02
119, 1.398132e+02
120, 1.398028e+02
121, 1.397926e+02
122, 1.397826e+02
123, 1.397727e+02
124, 1.397630e+02
125, 1.397535e+02
126, 1.397441e+02
127, 1.397349e+02
128, 1.397259e+02
129, 1.397170e+02
130, 1.397083e+02
131, 1.396997e+02
132, 1.396913e+02
133, 1.396830e+02
134, 1.396748e+02
135, 1.396668e+02
136, 1.396589e+02
137, 1.396511e+02
138, 1.396435e+02
139, 1.396360e+02
140, 1.396286e+02
141, 1.396213e+02
142, 1.396142e+02
143, 1.396071e+02
144, 1.396002e+02
145, 1.395934e+02
146, 1.395867e+02
147, 1.395801e+02
148, 1.395736e+02
149, 1.395672e+02
150, 1.395610e+02
151, 1.395548e+02
152, 1.395487e+02
153, 1.395427e+02
154, 1.395368e+02
155, 1.395310e+02
156, 1.395252e+02
157, 1.395196e+02
158, 1.395141e+02
159, 1.395086e+02
160, 1.395032e+02
161, 1.394979e+02
162, 1.394927e+02
163, 1.394875e+02
164, 1.394825e+02
165, 1.394775e+02
166, 1.394726e+02
167, 1.394677e+02
168, 1.394630e+02
169, 1.394583e+02
170, 1.394537e+02
171, 1.394491e+02
172, 1.394446e+02
173, 1.394402e+02
174, 1.394358e+02
175, 1.394315e+02
176, 1.394273e+02
177, 1.394231e+02
178, 1.394190e+02
179, 1.394149e+02
180, 1.394110e+02
181, 1.394070e+02
182, 1.394031e+02
183, 1.393993e+02
184, 1.393956e+02
185, 1.393918e+02
186, 1.393882e+02
187, 1.393846e+02
188, 1.393810e+02
189, 1.393775e+02
190, 1.393741e+02
191, 1.393707e+02
192, 1.393673e+02
193, 1.393640e+02
194, 1.393607e+02
195, 1.393575e+02
196, 1.393543e+02
197, 1.393512e+02
198, 1.393481e+02
199, 1.393451e+02
200, 1.393421e+02
201, 1.393391e+02
202, 1.393362e+02
203, 1.393333e+02
204, 1.393305e+02
205, 1.393277e+02
206, 1.393250e+02
207, 1.393223e+02
208, 1.393196e+02
209, 1.393169e+02
210, 1.393143e+02
211, 1.393118e+02
212, 1.393092e+02
213, 1.393067e+02
214, 1.393043e+02
215, 1.393018e+02
216, 1.392994e+02
217, 1.392971e+02
218, 1.392948e+02
219, 1.392924e+02
220, 1.392902e+02
221, 1.392879e+02
222, 1.392857e+02
223, 1.392836e+02
224, 1.392814e+02
225, 1.392793e+02
226, 1.392772e+02
227, 1.392752e+02
228, 1.392731e+02
229, 1.392711e+02
230, 1.392692e+02
231, 1.392672e+02
232, 1.392653e+02
233, 1.392634e+02
234, 1.392615e+02
235, 1.392597e+02
236, 1.392579e+02
237, 1.392561e+02
238, 1.392543e+02
239, 1.392526e+02
240, 1.392508e+02
241, 1.392491e+02
242, 1.392475e+02
243, 1.392458e+02
244, 1.392442e+02
245, 1.392426e+02
246, 1.392410e+02
247, 1.392394e+02
248, 1.392379e+02
249, 1.392364e+02
250, 1.392349e+02
251, 1.392334e+02
252, 1.392319e+02
253, 1.392305e+02
254, 1.392291e+02
255, 1.392277e+02
256, 1.392263e+02
257, 1.392249e+02
258, 1.392236e+02
259, 1.392222e+02
260, 1.392209e+02
261, 1.392196e+02
262, 1.392184e+02
263, 1.392171e+02
264, 1.392159e+02
265, 1.392147e+02
266, 1.392135e+02
267, 1.392123e+02
268, 1.392111e+02
269, 1.392099e+02
270, 1.392088e+02
271, 1.392077e+02
272, 1.392066e+02
273, 1.392055e+02
274, 1.392044e+02
275, 1.392033e+02
276, 1.392023e+02
277, 1.392013e+02
278, 1.392002e+02
279, 1.391992e+02
280, 1.391983e+02
281, 1.391973e+02
282, 1.391963e+02
283, 1.391954e+02
284, 1.391944e+02
285, 1.391935e+02
286, 1.391926e+02
287, 1.391917e+02
288, 1.391908e+02
289, 1.391899e+02
290, 1.391891e+02
291, 1.391882e+02
292, 1.391874e+02
293, 1.391866e+02
294, 1.391858e+02
295, 1.391849e+02
296, 1.391842e+02
297, 1.391834e+02
298, 1.391826e+02
299, 1.391819e+02
300, 1.391811e+02
301, 1.391804e+02
302, 1.391796e+02
303, 1.391789e+02
304, 1.391782e+02
305, 1.391775e+02
306, 1.391769e+02
307, 1.391762e+02
308, 1.391755e+02
309, 1.391749e+02
310, 1.391742e+02
311, 1.391736e+02
312, 1.391730e+02
313, 1.391723e+02
314, 1.391717e+02
315, 1.391711e+02
316, 1.391705e+02
317, 1.391700e+02
318, 1.391694e+02
319, 1.391688e+02
320, 1.391683e+02
321, 1.391677e+02
322, 1.391672e+02
323, 1.391667e+02
324, 1.391661e+02
325, 1.391656e+02
326, 1.391651e+02
327, 1.391646e+02
328, 1.391641e+02
329, 1.391636e+02
330, 1.391632e+02
331, 1.391627e+02
332, 1.391622e+02
333, 1.391618e+02
334, 1.391613e+02
335, 1.391609e+02
336, 1.391605e+02
337, 1.391600e+02
338, 1.391596e+02
339, 1.391592e+02
340, 1.391588e+02
341, 1.391584e+02
342, 1.391580e+02
343, 1.391576e+02
344, 1.391572e+02
345, 1.391569e+02
346, 1.391565e+02
347, 1.391561e+02
348, 1.391558e+02
349, 1.391554e+02
350, 1.391551e+02
351, 1.391547e+02
352, 1.391544e+02
353, 1.391541e+02
354, 1.391538e+02
355, 1.391534e+02
356, 1.391531e+02
357, 1.391528e+02
358, 1.391525e+02
359, 1.391522e+02
360, 1.391520e+02
361, 1.391517e+02
362, 1.391514e+02
363, 1.391511e+02
364, 1.391508e+02
365, 1.391506e+02
366, 1.391503e+02
367, 1.391501e+02
368, 1.391498e+02
369, 1.391496e+02
370, 1.391493e+02
371, 1.391491e+02
372, 1.391489e+02
373, 1.391486e+02
374, 1.391484e+02
375, 1.391482e+02
376, 1.391480e+02
377, 1.391478e+02
378, 1.391476e+02
379, 1.391474e+02
380, 1.391472e+02
381, 1.391470e+02
382, 1.391468e+02
383, 1.391466e+02
384, 1.391464e+02
385, 1.391463e+02
386, 1.391461e+02
387, 1.391459e+02
388, 1.391458e+02
389, 1.391456e+02
390, 1.391454e+02
391, 1.391453e+02
392, 1.391451e+02
393, 1.391450e+02
394, 1.391448e+02
395, 1.391447e+02
396, 1.391446e+02
397, 1.391444e+02
398, 1.391443e+02
399, 1.391442e+02
400, 1.391441e+02
401, 1.391439e+02
402, 1.391438e+02
403, 1.391437e+02
404, 1.391436e+02
405, 1.391435e+02
406, 1.391434e+02
407, 1.391433e+02
408, 1.391432e+02
409, 1.391431e+02
410, 1.391430e+02
411, 1.391429e+02
412, 1.391428e+02
413, 1.391427e+02
414, 1.391427e+02
415, 1.391426e+02
416, 1.391425e+02
417, 1.391424e+02
418, 1.391424e+02
419, 1.391423e+02
420, 1.391422e+02
421, 1.391422e+02
422, 1.391421e+02
423, 1.391420e+02
424, 1.391420e+02
425, 1.391419e+02
426, 1.391419e+02
427, 1.391418e+02
428, 1.391418e+02
429, 1.391418e+02
430, 1.391417e+02
431, 1.391417e+02
432, 1.391416e+02
433, 1.391416e+02
434, 1.391416e+02
435, 1.391415e+02
436, 1.391415e+02
437, 1.391415e+02
438, 1.391415e+02
439, 1.391415e+02
440, 1.391414e+02
441, 1.391414e+02
442, 1.391414e+02
443, 1.391414e+02
444, 1.391414e+02
445, 1.391414e+02
446, 1.391414e+02
447, 1.391414e+02
448, 1.391414e+02
449, 1.391414e+02
450, 1.391414e+02
451, 1.391414e+02
452, 1.391414e+02
453, 1.391414e+02
454, 1.391414e+02
455, 1.391414e+02
456, 1.391414e+02
457, 1.391414e+02
458, 1.391414e+02
459, 1.391414e+02
460, 1.391415e+02
461, 1.391415e+02
462, 1.391415e+02
463, 1.391415e+02
464, 1.391415e+02
465, 1.391416e+02
466, 1.391416e+02
467, 1.391416e+02
468, 1.391417e+02
469, 1.391417e+02
470, 1.391417e+02
471, 1.391418e+02
472, 1.391418e+02
473, 1.391418e+02
474, 1.391419e+02
475, 1.391419e+02
476, 1.391420e+02
477, 1.391420e+02
478, 1.391421e+02
479, 1.391421e+02
480, 1.391421e+02
481, 1.391422e+02
482, 1.391422e+02
483, 1.391423e+02
484, 1.391423e+02
485, 1.391424e+02
486, 1.391425e+02
487, 1.391425e+02
488, 1.391426e+02
489, 1.391426e+02
490, 1.391427e+02
491, 1.391428e+02
492, 1.391428e+02
493, 1.391429e+02
494, 1.391429e+02
495, 1.391430e+02
496, 1.391431e+02
497, 1.391431e+02
498, 1.391432e+02
499, 1.391433e+02
500, 1.391434e+02
501, 1.391434e+02
502, 1.391435e+02
503, 1.391436e+02
504, 1.391437e+02
505, 1.391437e+02
506, 1.391438e+02
507, 1.391439e+02
508, 1.391440e+02
509, 1.391440e+02
510, 1.391441e+02
511, 1.391442e+02
512, 1.391443e+02
513, 1.391444e+02
514, 1.391445e+02
515, 1.391446e+02
516, 1.391446e+02
517, 1.391447e+02
518, 1.391448e+02
519, 1.391449e+02
520, 1.391450e+02
521, 1.391451e+02
522, 1.391452e+02
523, 1.391453e+02
524, 1.391454e+02
525, 1.391455e+02
526, 1.391456e+02
527, 1.391457e+02
528, 1.391458e+02
529, 1.391459e+02
530, 1.391460e+02
531, 1.391461e+02
532, 1.391462e+02
533, 1.391463e+02
534, 1.391464e+02
535, 1.391465e+02
536, 1.391466e+02
537, 1.391467e+02
538, 1.391468e+02
539, 1.391469e+02
