Iteration, Residual
1, 2.794899e+03
2, 1.728745e+03
3, 1.264933e+03
4, 1.008193e+03
5, 8.442256e+02
6, 7.299013e+02
7, 6.452914e+02
8, 5.799162e+02
9, 5.277332e+02
10, 4.850089e+02
11, 4.493091e+02
12, 4.189768e+02
13, 3.928438e+02
14, 3.700619e+02
15, 3.499997e+02
16, 3.321771e+02
17, 3.162224e+02
18, 3.018431e+02
19, 2.888054e+02
20, 2.769207e+02
21, 2.660345e+02
22, 2.560192e+02
23, 2.467687e+02
24, 2.381934e+02
25, 2.302178e+02
26, 2.227773e+02
27, 2.158165e+02
28, 2.092875e+02
29, 2.031488e+02
30, 1.973641e+02
31, 1.919018e+02
32, 1.867337e+02
33, 1.818351e+02
34, 1.771841e+02
35, 1.727611e+02
36, 1.685486e+02
37, 1.645309e+02
38, 1.606939e+02
39, 1.570249e+02
40, 1.535122e+02
41, 1.501456e+02
42, 1.469155e+02
43, 1.438132e+02
44, 1.408308e+02
45, 1.379612e+02
46, 1.351975e+02
47, 1.325339e+02
48, 1.299645e+02
49, 1.274844e+02
50, 1.250886e+02
51, 1.227727e+02
52, 1.205326e+02
53, 1.183646e+02
54, 1.162650e+02
55, 1.142305e+02
56, 1.122581e+02
57, 1.103449e+02
58, 1.084882e+02
59, 1.066855e+02
60, 1.049344e+02
61, 1.032327e+02
62, 1.015783e+02
63, 9.996920e+01
64, 9.840364e+01
65, 9.687983e+01
66, 9.539613e+01
67, 9.395100e+01
68, 9.254296e+01
69, 9.117062e+01
70, 8.983267e+01
71, 8.852785e+01
72, 8.725499e+01
73, 8.601295e+01
74, 8.480067e+01
75, 8.361713e+01
76, 8.246136e+01
77, 8.133243e+01
78, 8.022947e+01
79, 7.915163e+01
80, 7.809812e+01
81, 7.706816e+01
82, 7.606102e+01
83, 7.507600e+01
84, 7.411243e+01
85, 7.316966e+01
86, 7.224708e+01
87, 7.134409e+01
88, 7.046012e+01
89, 6.959463e+01
90, 6.874709e+01
91, 6.791700e+01
92, 6.710387e+01
93, 6.630723e+01
94, 6.552664e+01
95, 6.476165e+01
96, 6.401186e+01
97, 6.327684e+01
98, 6.255622e+01
99, 6.184962e+01
100, 6.115667e+01
101, 6.047702e+01
102, 5.981034e+01
103, 5.915628e+01
104, 5.851453e+01
105, 5.788479e+01
106, 5.726675e+01
107, 5.666012e+01
108, 5.606462e+01
109, 5.547999e+01
110, 5.490594e+01
111, 5.434224e+01
112, 5.378862e+01
113, 5.324485e+01
114, 5.271069e+01
115, 5.218591e+01
116, 5.167028e+01
117, 5.116361e+01
118, 5.066566e+01
119, 5.017624e+01
120, 4.969515e+01
121, 4.922220e+01
122, 4.875720e+01
123, 4.829995e+01
124, 4.785029e+01
